smiles,RF_pred_proba,GCN_pred_proba,combo_mean,mw,clogP,tpsa,hbd,hba,rotb,pains,scaffold,novel_scaffold,nn_tanimoto_to_train,keep
Cl.NC1=[N+]C(N)CC=[P-]=C1CCNC[S+]C=CC1=CCOC1=O,0.9112789277561816,0.9613584876060486,0.9363187076811152,375.84200000000016,-0.2728000000000004,104.47,3,7,7,False,O=C1OCC=C1C=C[S+]CNCCC1=[P-]=CCC[N+]=C1,True,0.13,True
CNC1=NC(N)=NC(C)C1=C=C(C)CC=CC=CC[S+]=O.Cl,0.915115185070938,0.934364140033722,0.92473966255233,341.888,2.1451000000000007,79.84,2,5,5,False,C=C1C=NC=NC1,True,0.17647058823529413,True
Cl.NC1=[N+]C(N)C#SC=C1CCNC[S+]C=CC1=CCOC1=O,0.903769006926344,0.9381173849105836,0.9209431959184636,374.91900000000015,-0.007400000000000517,104.47,3,7,7,False,O=C1OCC=C1C=C[S+]CNCCC1=CS#CC[N+]=C1,True,0.14,True
Cl.NC1=[N+]C(N)C#SC=C1CCNC=CC=CC1=CCOC1=O,0.91015115099652,0.928113043308258,0.919132097152389,354.86300000000017,0.5086999999999999,104.47,3,6,6,False,O=C1OCC=C1C=CC=CNCCC1=CS#CC[N+]=C1,True,0.15053763440860216,True
Cl.Nc1nc[n+]([B+]C=CC=C[N+]SCC2B=C2)c(CNCC(=O)O)n1,0.9289693127380976,0.908582329750061,0.9187758212440792,379.4710000000002,-1.0018999999999982,119.11000000000001,3,6,11,False,B1=CC1CS[N+]C=CC=C[B+][n+]1cncnc1,True,0.17582417582417584,True
CCC1=C=C1C=C=[N+]C=C1B=C(N)N=C(N)N1CCNC(=O)C[B+]C1=CC=CCN1,0.936302902471956,0.9006644487380981,0.918483675605027,400.0840000000001,-1.1575999999999973,122.87,4,7,9,False,O=C(C[B+]C1=CC=CCN1)NCCN1C=NC=BC1=C[N+]=C=CC1=C=C1,True,0.14563106796116504,True
Cl.NC1=[N+]C(N)C#SC=C1C=CCNC=CC=CC1=CCOC1=O,0.9098283949619704,0.9118016958236694,0.91081504539282,366.8740000000002,0.6747999999999998,104.47,3,6,6,False,O=C1OCC=C1C=CC=CNCC=CC1=CS#CC[N+]=C1,True,0.12,True
Nc1nc(N)c2cc(NCc3ccc(CCNC(=O)C4CCCCC4)cc3)ccc2n1,0.9900495451356328,0.8303185701370239,0.9101840576363284,418.54500000000024,3.6453000000000024,118.95,4,6,7,False,O=C(NCCc1ccc(CNc2ccc3ncncc3c2)cc1)C1CCCCC1,False,1.0,True
CCc1nc(N)nc(N)c1OCCCOc1ccccc1CCS(=O)O.Cl,0.9062900516959776,0.9071211814880372,0.9067056165920072,416.9310000000001,2.2373000000000007,133.57999999999998,3,7,10,False,c1ccc(OCCCOc2cncnc2)cc1,False,0.7777777777777778,True
Cl.NC1=[N+]C(N)C#SC=C1C=CCNC=CC1=CCOC1=O,0.906356632413284,0.9058945178985596,0.9061255751559218,340.8360000000002,0.1186000000000001,104.47,3,6,5,False,O=C1OCC=C1C=CNCC=CC1=CS#CC[N+]=C1,True,0.12371134020618557,True
